NASDAQ:A,A,Agilent Technologies Inc. Common Stock
NASDAQ:AA,AA,Alcoa Corporation Common Stock
NASDAQ:AAC,AAC,Ares Acquisition Corporation Class A Ordinary Shares
NASDAQ:AACG,AACG,ATA Creativity Global American Depositary Shares
NASDAQ:AACIU,AACIU,Armada Acquisition Corp. I Unit
NASDAQ:AADI,AADI,Aadi Bioscience Inc. Common Stock
NASDAQ:AAIC,AAIC,Arlington Asset Investment Corp Class A (new)
NASDAQ:AAIC^C,AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
NASDAQ:AAIN,AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
NASDAQ:AAL,AAL,American Airlines Group Inc. Common Stock
NASDAQ:AAMC,AAMC,Altisource Asset Management Corp Com
NASDAQ:AAME,AAME,Atlantic American Corporation Common Stock
NASDAQ:AAN,AAN,Aarons Holdings Company Inc. Common Stock
NASDAQ:AAOI,AAOI,Applied Optoelectronics Inc. Common Stock
NASDAQ:AAON,AAON,AAON Inc. Common Stock
NASDAQ:AAP,AAP,Advance Auto Parts Inc.
NASDAQ:AAPL,AAPL,Apple Inc. Common Stock
NASDAQ:AAQC,AAQC,Accelerate Acquisition Corp. Class A Common Stock
NASDAQ:AAT,AAT,American Assets Trust Inc. Common Stock
NASDAQ:AATC,AATC,Autoscope Technologies Corporation Common Stock
NASDAQ:AAU,AAU,Almaden Minerals Ltd. Common Shares
NASDAQ:AAWW,AAWW,Atlas Air Worldwide Holdings NEW Common Stock
NASDAQ:AB,AB,AllianceBernstein Holding L.P. Units
NASDAQ:ABB,ABB,ABB Ltd Common Stock
NASDAQ:ABBV,ABBV,AbbVie Inc. Common Stock
NASDAQ:ABC,ABC,AmerisourceBergen Corporation Common Stock
NASDAQ:ABCB,ABCB,Ameris Bancorp Common Stock
NASDAQ:ABCL,ABCL,AbCellera Biologics Inc. Common Shares
NASDAQ:ABCM,ABCM,Abcam plc American Depositary Shares
NASDAQ:ABEO,ABEO,Abeona Therapeutics Inc. Common Stock
NASDAQ:ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
NASDAQ:ABG,ABG,Asbury Automotive Group Inc Common Stock
NASDAQ:ABGI,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares
NASDAQ:ABIO,ABIO,ARCA biopharma Inc. Common Stock
NASDAQ:ABM,ABM,ABM Industries Incorporated Common Stock
NASDAQ:ABMD,ABMD,ABIOMED Inc. Common Stock
NASDAQ:ABNB,ABNB,Airbnb Inc. Class A Common Stock
NASDAQ:ABOS,ABOS,Acumen Pharmaceuticals Inc. Common Stock
NASDAQ:ABR,ABR,Arbor Realty Trust Common Stock
NASDAQ:ABR^D,ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
NASDAQ:ABR^E,ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
NASDAQ:ABSI,ABSI,Absci Corporation Common Stock
NASDAQ:ABST,ABST,Absolute Software Corporation Common Stock
NASDAQ:ABT,ABT,Abbott Laboratories Common Stock
NASDAQ:ABTX,ABTX,Allegiance Bancshares Inc. Common Stock
NASDAQ:ABUS,ABUS,Arbutus Biopharma Corporation Common Stock
NASDAQ:ABVC,ABVC,ABVC Biopharma Inc. Common Stock
NASDAQ:AC,AC,Associated Capital Group Inc. Common Stock
NASDAQ:ACA,ACA,Arcosa Inc. Common Stock
NASDAQ:ACAD,ACAD,ACADIA Pharmaceuticals Inc. Common Stock
NASDAQ:ACAH,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock
NASDAQ:ACAHU,ACAHU,Atlantic Coastal Acquisition Corp. Unit
NASDAQ:ACAHW,ACAHW,Atlantic Coastal Acquisition Corp. Warrant
NASDAQ:ACB,ACB,Aurora Cannabis Inc. Common Shares
NASDAQ:ACBA,ACBA,Ace Global Business Acquisition Limited Ordinary Shares
NASDAQ:ACBAW,ACBAW,Ace Global Business Acquisition Limited Warrant
NASDAQ:ACBI,ACBI,Atlantic Capital Bancshares Inc. Common Stock
NASDAQ:ACC,ACC,American Campus Communities Inc Common Stock
NASDAQ:ACCD,ACCD,Accolade Inc. Common Stock
NASDAQ:ACCO,ACCO,Acco Brands Corporation Common Stock
NASDAQ:ACEL,ACEL,Accel Entertainment Inc.
NASDAQ:ACER,ACER,Acer Therapeutics Inc. Common Stock (DE)
NASDAQ:ACET,ACET,Adicet Bio Inc. Common Stock
NASDAQ:ACEV,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares
NASDAQ:ACEVU,ACEVU,ACE Convergence Acquisition Corp. Unit
NASDAQ:ACEVW,ACEVW,ACE Convergence Acquisition Corp. Warrant
NASDAQ:ACGL,ACGL,Arch Capital Group Ltd. Common Stock
NASDAQ:ACGLN,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
NASDAQ:ACGLO,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
NASDAQ:ACH,ACH,Aluminum Corporation of China Limited American Depositary Shares
NASDAQ:ACHC,ACHC,Acadia Healthcare Company Inc. Common Stock
NASDAQ:ACHL,ACHL,Achilles Therapeutics plc American Depositary Shares
NASDAQ:ACHR,ACHR,Archer Aviation Inc. Class A Common Stock
NASDAQ:ACHV,ACHV,Achieve Life Sciences Inc. Common Shares
NASDAQ:ACI,ACI,Albertsons Companies Inc. Class A Common Stock
NASDAQ:ACII,ACII,Atlas Crest Investment Corp. II Class A Common Stock
NASDAQ:ACIU,ACIU,AC Immune SA Common Stock
NASDAQ:ACIW,ACIW,ACI Worldwide Inc. Common Stock
NASDAQ:ACKIT,ACKIT,Ackrell SPAC Partners I Co. Subunits
NASDAQ:ACKIW,ACKIW,Ackrell SPAC Partners I Co. Warrants
NASDAQ:ACLS,ACLS,Axcelis Technologies Inc. Common Stock
NASDAQ:ACM,ACM,AECOM Common Stock
NASDAQ:ACMR,ACMR,ACM Research Inc. Class A Common Stock
NASDAQ:ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland)
NASDAQ:ACNB,ACNB,ACNB Corporation Common Stock
NASDAQ:ACOR,ACOR,Acorda Therapeutics Inc. Common Stock
NASDAQ:ACP,ACP,Aberdeen Income Credit Strategies Fund Common Shares
NASDAQ:ACP^A,ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
NASDAQ:ACQR,ACQR,Independence Holdings Corp. Class A Ordinary Share
NASDAQ:ACQRU,ACQRU,Independence Holdings Corp. Units
NASDAQ:ACQRW,ACQRW,Independence Holdings Corp. Warrant
NASDAQ:ACR,ACR,ACRES Commercial Realty Corp. Common Stock
NASDAQ:ACR^C,ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock
NASDAQ:ACR^D,ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
NASDAQ:ACRE,ACRE,Ares Commercial Real Estate Corporation Common Stock
NASDAQ:ACRO,ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock
NASDAQ:ACRS,ACRS,Aclaris Therapeutics Inc. Common Stock
NASDAQ:ACRX,ACRX,AcelRx Pharmaceuticals Inc. Common Stock
NASDAQ:ACST,ACST,Acasti Pharma Inc. Class A Common Stock
NASDAQ:ACT,ACT,Enact Holdings Inc. Common Stock
NASDAQ:ACTD,ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share
NASDAQ:ACTDU,ACTDU,ArcLight Clean Transition Corp. II Unit
NASDAQ:ACTG,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock
NASDAQ:ACU,ACU,Acme United Corporation. Common Stock
NASDAQ:ACV,ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
NASDAQ:ACVA,ACVA,ACV Auctions Inc. Class A Common Stock
NASDAQ:ACXP,ACXP,Acurx Pharmaceuticals Inc. Common Stock
NASDAQ:ACY,ACY,AeroCentury Corp. Common Stock
NASDAQ:ADAG,ADAG,Adagene Inc. American Depositary Shares
NASDAQ:ADAP,ADAP,Adaptimmune Therapeutics plc American Depositary Shares
NASDAQ:ADBE,ADBE,Adobe Inc. Common Stock
NASDAQ:ADC,ADC,Agree Realty Corporation Common Stock
NASDAQ:ADC^A,ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
NASDAQ:ADCT,ADCT,ADC Therapeutics SA Common Shares
NASDAQ:ADER,ADER,26 Capital Acquisition Corp. Class A Common Stock
NASDAQ:ADERU,ADERU,26 Capital Acquisition Corp. Unit
NASDAQ:ADERW,ADERW,26 Capital Acquisition Corp. Warrant
NASDAQ:ADES,ADES,Advanced Emissions Solutions Inc. Common Stock
NASDAQ:ADEX,ADEX,Adit EdTech Acquisition Corp. Common Stock
NASDAQ:ADF,ADF,Aldel Financial Inc. Class A Common Stock
NASDAQ:ADGI,ADGI,Adagio Therapeutics Inc. Common Stock
NASDAQ:ADI,ADI,Analog Devices Inc. Common Stock
NASDAQ:ADIL,ADIL,Adial Pharmaceuticals Inc Common Stock
NASDAQ:ADILW,ADILW,Adial Pharmaceuticals Inc Warrant
NASDAQ:ADM,ADM,Archer-Daniels-Midland Company Common Stock
NASDAQ:ADMA,ADMA,ADMA Biologics Inc Common Stock
NASDAQ:ADMP,ADMP,Adamis Pharmaceuticals Corporation Common Stock
NASDAQ:ADMS,ADMS,Adamas Pharmaceuticals Inc. Common Stock
NASDAQ:ADN,ADN,Advent Technologies Holdings Inc. Class A Common Stock
NASDAQ:ADNT,ADNT,Adient plc Ordinary Shares
NASDAQ:ADNWW,ADNWW,Advent Technologies Holdings Inc. Warrant
NASDAQ:ADOC,ADOC,Edoc Acquisition Corp. Class A Ordinary Share
NASDAQ:ADOCR,ADOCR,Edoc Acquisition Corp. Right
NASDAQ:ADOCW,ADOCW,Edoc Acquisition Corp. Warrant
NASDAQ:ADP,ADP,Automatic Data Processing Inc. Common Stock
NASDAQ:ADPT,ADPT,Adaptive Biotechnologies Corporation Common Stock
NASDAQ:ADRA,ADRA,Adara Acquisition Corp. Class A Common Stock
NASDAQ:ADS,ADS,Alliance Data Systems Corporation Common Stock
NASDAQ:ADSK,ADSK,Autodesk Inc. Common Stock
NASDAQ:ADT,ADT,ADT Inc. Common Stock
NASDAQ:ADTN,ADTN,ADTRAN Inc. Common Stock
NASDAQ:ADTX,ADTX,Aditxt Inc. Common Stock
NASDAQ:ADUS,ADUS,Addus HomeCare Corporation Common Stock
NASDAQ:ADV,ADV,Advantage Solutions Inc. Class A Common Stock
NASDAQ:ADVM,ADVM,Adverum Biotechnologies Inc. Common Stock
NASDAQ:ADVWW,ADVWW,Advantage Solutions Inc. Warrant
NASDAQ:ADX,ADX,Adams Diversified Equity Fund Inc.
NASDAQ:ADXN,ADXN,Addex Therapeutics Ltd American Depositary Shares
NASDAQ:ADXS,ADXS,Advaxis Inc. Common Stock
NASDAQ:AE,AE,Adams Resources & Energy Inc. Common Stock
NASDAQ:AEAC,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share
NASDAQ:AEACU,AEACU,Authentic Equity Acquisition Corp. Unit
NASDAQ:AEACW,AEACW,Authentic Equity Acquisition Corp. Warrant
NASDAQ:AEE,AEE,Ameren Corporation Common Stock
NASDAQ:AEF,AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock
NASDAQ:AEFC,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
NASDAQ:AEG,AEG,AEGON N.V. Common Stock
NASDAQ:AEHL,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
NASDAQ:AEHR,AEHR,Aehr Test Systems Common Stock
NASDAQ:AEI,AEI,Alset EHome International Inc. Common Stock
NASDAQ:AEIS,AEIS,Advanced Energy Industries Inc. Common Stock
NASDAQ:AEL,AEL,American Equity Investment Life Holding Company Common Stock
NASDAQ:AEL^A,AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A
NASDAQ:AEL^B,AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B
NASDAQ:AEM,AEM,Agnico Eagle Mines Limited Common Stock
NASDAQ:AEMD,AEMD,Aethlon Medical Inc. Common Stock
NASDAQ:AENZ,AENZ,Aenza S.A.A. American Depositary Shares
NASDAQ:AEO,AEO,American Eagle Outfitters Inc. Common Stock
NASDAQ:AEP,AEP,American Electric Power Company Inc. Common Stock
NASDAQ:AEPPL,AEPPL,American Electric Power Company Inc. Corporate Unit
NASDAQ:AEPPZ,AEPPZ,American Electric Power Company Inc. Corporate Units
NASDAQ:AER,AER,AerCap Holdings N.V. Ordinary Shares
NASDAQ:AERI,AERI,Aerie Pharmaceuticals Inc. Common Stock
NASDAQ:AES,AES,The AES Corporation Common Stock
NASDAQ:AESC,AESC,The AES Corporation Corporate Units
NASDAQ:AESE,AESE,Allied Esports Entertainment Inc. Common Stock
NASDAQ:AEVA,AEVA,Aeva Technologies Inc. Common Stock
NASDAQ:AEY,AEY,ADDvantage Technologies Group Inc. Common Stock
NASDAQ:AEYE,AEYE,AudioEye Inc. Common Stock
NASDAQ:AEZS,AEZS,Aeterna Zentaris Inc. Common Stock
NASDAQ:AFAQ,AFAQ,AF Acquisition Corp. Class A Common Stock
NASDAQ:AFAQU,AFAQU,AF Acquisition Corp. Units
NASDAQ:AFAQW,AFAQW,AF Acquisition Corp. Warrants
NASDAQ:AFB,AFB,AllianceBernstein National Municipal Income Fund Inc
NASDAQ:AFBI,AFBI,Affinity Bancshares Inc. Common Stock (MD)
NASDAQ:AFCG,AFCG,AFC Gamma Inc. Common Stock
NASDAQ:AFG,AFG,American Financial Group Inc. Common Stock
NASDAQ:AFGB,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
NASDAQ:AFGC,AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
NASDAQ:AFGD,AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
NASDAQ:AFGE,AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
NASDAQ:AFI,AFI,Armstrong Flooring Inc. Common Stock
NASDAQ:AFIB,AFIB,Acutus Medical Inc. Common Stock
NASDAQ:AFIN,AFIN,American Finance Trust Inc. Class A Common Stock
NASDAQ:AFINO,AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock
NASDAQ:AFINP,AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
NASDAQ:AFL,AFL,AFLAC Incorporated Common Stock
NASDAQ:AFMD,AFMD,Affimed N.V.
NASDAQ:AFRM,AFRM,Affirm Holdings Inc. Class A Common Stock
NASDAQ:AFT,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
NASDAQ:AFTR,AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares
NASDAQ:AFYA,AFYA,Afya Limited Class A Common Shares
NASDAQ:AG,AG,First Majestic Silver Corp. Ordinary Shares (Canada)
NASDAQ:AGAC,AGAC,African Gold Acquisition Corporation Class A Ordinary Shares
NASDAQ:AGBA,AGBA,AGBA Acquisition Limited Ordinary Share
NASDAQ:AGBAR,AGBAR,AGBA Acquisition Limited Right
NASDAQ:AGBAW,AGBAW,AGBA Acquisition Limited Warrant
NASDAQ:AGC,AGC,Altimeter Growth Corp. Class A Ordinary Shares
NASDAQ:AGCB,AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
NASDAQ:AGCO,AGCO,AGCO Corporation Common Stock
NASDAQ:AGCUU,AGCUU,Altimeter Growth Corp. Unit
NASDAQ:AGCWW,AGCWW,Altimeter Growth Corp. Warrant
NASDAQ:AGD,AGD,Aberdeen Global Dynamic Dividend Fund
NASDAQ:AGE,AGE,AgeX Therapeutics Inc. Common Stock
NASDAQ:AGEN,AGEN,Agenus Inc. Common Stock
NASDAQ:AGFS,AGFS,AgroFresh Solutions Inc. Common Stock
NASDAQ:AGFY,AGFY,Agrify Corporation Common Stock
NASDAQ:AGGR,AGGR,Agile Growth Corp. Class A Ordinary Share
NASDAQ:AGGRU,AGGRU,Agile Growth Corp. Units
NASDAQ:AGGRW,AGGRW,Agile Growth Corp. Warrant.
NASDAQ:AGI,AGI,Alamos Gold Inc. Class A Common Shares
NASDAQ:AGIL,AGIL,AgileThought Inc. Class A Common Stock
NASDAQ:AGILW,AGILW,AgileThought Inc. Warrant
